Metro Area,Accounting,Customer Service,Engineering,Graphics & Design,Human Resources,Law,Management Consulting,Marketing,Network & System Administration,Personal/Virtual Assistant,Public Relations,Technical Support,"Web, Mobile, & Software Development",Share of workers in this region who can work remotely
"Sacramento--Roseville--Arden-Arcade, CA",34.54,17.35,50.75,25.57,34.05,62.02,35.04,38.92,44.74,18.78,54.32,26.54,46.26,37.2%
"Saginaw, MI",27.97,12.57,32.53,17.66,31.37,37.90,37.84,23.96,34.73,16.49,14.03,21.15,32.60,27.3%
"Salinas, CA",38.00,17.65,54.11,22.74,32.90,55.31,35.05,37.91,43.42,20.45,38.37,30.71,46.80,26.0%
"Salisbury, MD-DE",29.07,14.49,36.06,17.88,28.24,49.03,46.57,34.20,35.55,17.19,29.72,21.52,28.57,28.6%
"Salt Lake City, UT",31.02,16.17,36.06,26.18,28.75,48.69,36.12,32.68,37.98,16.95,27.86,22.24,46.55,36.3%
"San Angelo, TX",28.37,13.83,34.97,17.11,22.00,40.61,21.54,24.62,35.94,14.32,25.20,20.37,,29.4%
"San Antonio-New Braunfels, TX",33.65,14.76,38.12,25.18,30.98,47.33,37.63,44.46,36.47,16.50,30.87,22.02,47.07,32.5%
"San Diego-Carlsbad, CA",36.66,17.32,43.57,28.92,34.64,69.19,38.59,38.47,43.82,19.70,36.74,28.21,49.68,36.0%
"San Francisco-Oakland-Hayward, CA",40.48,21.79,50.36,38.73,44.58,78.94,48.24,52.36,48.26,23.14,42.10,34.21,64.66,44.7%
"San Jose-Sunnyvale-Santa Clara, CA",39.96,21.18,55.89,36.24,44.77,91.79,54.40,58.65,51.72,22.63,36.15,36.84,60.41,45.3%
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",36.58,16.62,41.05,22.00,32.60,60.17,30.27,28.71,39.20,20.18,22.69,23.43,26.58,32.5%
"Santa Cruz-Watsonville, CA",35.52,19.16,49.77,28.32,39.37,65.80,41.36,35.11,37.66,20.87,40.33,26.92,48.95,36.1%
"Santa Fe, NM",27.91,14.74,33.43,21.49,28.76,39.02,24.24,28.67,33.75,18.79,33.59,21.80,33.29,35.3%
"Santa Maria-Santa Barbara, CA",35.20,18.35,49.22,24.84,36.88,54.70,39.61,39.34,37.68,21.49,37.18,28.67,44.48,33.5%
"Santa Rosa, CA",35.94,18.08,47.26,32.92,35.84,68.05,39.91,41.36,42.62,20.92,32.47,27.60,50.66,33.7%
"Scranton--Wilkes-Barre--Hazleton, PA",30.40,15.72,34.61,18.97,29.51,37.11,35.07,30.77,32.48,15.75,23.19,18.54,35.81,30.4%
"Seattle-Tacoma-Bellevue, WA",35.40,18.92,43.77,33.63,36.33,60.74,50.64,45.02,46.18,21.79,41.07,27.92,60.73,40.2%
"Sebastian-Vero Beach, FL",28.07,13.26,33.31,16.02,26.60,,42.09,26.30,31.58,15.44,25.51,21.65,18.43,29.9%
"Sheboygan, WI",30.62,17.04,41.42,21.53,36.98,79.29,32.09,41.95,30.43,18.73,24.13,23.92,39.18,25.6%
"Shreveport-Bossier City, LA",26.17,14.53,31.13,17.78,27.04,43.09,38.81,29.31,25.91,14.95,21.95,24.17,,28.9%
"Spartanburg, SC",29.99,14.33,35.84,18.00,26.71,44.79,37.98,33.55,25.55,15.63,27.11,20.98,45.14,27.7%
"Spokane-Spokane Valley, WA",31.25,16.45,36.17,19.22,28.24,41.47,36.31,28.76,36.40,18.16,27.36,21.28,33.31,32.6%
"Springfield, IL",31.77,15.02,43.72,20.96,30.55,51.86,33.21,38.41,33.24,16.80,43.26,21.52,42.90,37.6%
"Springfield, MO",26.46,14.25,30.91,16.89,22.79,38.55,31.78,24.25,30.87,14.51,24.04,18.17,37.93,33.4%
"Springfield, OH",26.01,14.22,32.08,,19.06,,43.15,31.21,,15.68,30.84,,,25.4%
"St. George, UT",31.17,14.43,29.89,22.02,26.08,39.32,,26.00,30.60,14.56,21.65,18.18,29.47,29.0%
"St. Joseph, MO-KS",28.51,15.01,37.39,12.46,22.15,29.79,31.43,27.02,29.50,14.57,32.27,17.70,33.52,27.5%
"St. Louis, MO-IL",33.34,16.83,40.30,27.63,31.15,50.28,38.45,36.02,42.77,17.75,32.12,22.39,44.19,36.7%
"State College, PA",28.26,12.47,37.74,,31.34,36.78,40.56,37.96,34.10,17.77,22.94,26.52,40.25,42.2%
"Stockton-Lodi, CA",31.71,17.58,46.73,19.41,31.26,37.47,35.05,33.61,41.61,18.95,27.08,28.14,40.21,26.1%
"Syracuse, NY",32.00,16.61,39.69,22.18,30.30,41.27,37.72,36.04,38.43,18.44,32.32,27.12,39.84,35.6%
"Tampa-St. Petersburg-Clearwater, FL",30.31,15.21,36.25,23.27,28.10,42.60,37.37,34.20,37.30,16.43,29.34,22.41,44.05,35.3%
"Toledo, OH",29.34,15.03,34.64,22.55,27.60,44.76,29.63,32.28,35.07,17.21,29.31,20.49,34.79,31.0%
"Topeka, KS",26.71,16.53,35.75,22.74,29.14,36.60,23.63,32.05,37.44,15.37,35.15,22.11,33.68,34.8%
"Trenton, NJ",38.25,18.30,41.60,31.78,29.41,48.42,44.88,55.39,39.24,23.21,44.23,31.11,46.51,43.2%
"Tucson, AZ",28.79,12.87,45.36,22.75,26.90,41.67,37.66,32.97,35.68,15.72,31.82,23.94,37.29,32.8%
"Tuscaloosa, AL",30.49,13.24,36.76,19.89,29.56,33.92,37.62,23.01,30.94,17.04,24.53,19.61,,29.8%
"Tyler, TX",33.27,14.67,38.69,19.21,20.96,35.65,,,38.10,15.24,23.08,21.36,39.48,29.3%
"Urban Honolulu, HI",29.62,17.59,38.34,27.12,31.34,46.59,38.20,34.47,39.22,19.38,34.27,22.30,36.29,32.4%
"Utica-Rome, NY",32.39,13.78,38.14,19.84,25.70,45.92,34.48,31.42,30.71,17.02,19.92,21.46,36.77,32.0%
"Vallejo-Fairfield, CA",34.64,16.40,47.23,24.59,36.70,54.35,42.45,36.62,40.39,18.65,32.89,23.30,47.45,28.2%
"Virginia Beach-Norfolk-Newport News, VA-NC",33.64,14.45,40.14,23.74,31.73,52.06,42.34,34.50,36.39,17.38,33.07,25.07,40.35,32.7%
"Visalia-Porterville, CA",32.51,16.88,34.74,18.35,33.30,45.69,34.86,36.69,43.31,17.59,17.31,27.49,51.02,23.6%
"Waco, TX",29.78,13.58,39.13,18.28,25.50,50.80,35.54,33.99,34.13,14.66,29.97,17.23,37.24,31.2%
"Washington-Arlington-Alexandria, DC-VA-MD-WV",40.27,18.02,47.15,33.49,42.94,78.94,49.71,44.72,47.30,21.54,50.07,29.15,53.97,46.3%
"Wausau, WI",30.73,15.32,31.79,19.23,32.22,45.93,29.52,25.24,31.90,16.88,23.97,22.08,44.51,29.5%
"Wenatchee, WA",32.43,15.99,42.68,16.42,27.71,41.14,38.09,22.65,36.22,18.74,29.13,20.43,,26.9%
"Wichita Falls, TX",30.52,15.90,40.46,,21.91,39.88,30.82,20.88,27.05,13.46,22.35,23.41,,27.4%
"Wichita, KS",30.01,14.47,37.43,22.70,27.97,35.28,30.25,34.34,31.30,15.78,26.41,19.03,40.73,32.7%
"Wilmington, NC",32.59,15.03,39.32,19.67,29.52,29.79,45.86,34.36,28.89,17.33,30.49,24.01,37.52,34.3%
"Winston-Salem, NC",32.51,15.76,36.66,24.74,28.46,47.78,38.32,40.11,40.19,17.42,40.07,22.06,45.10,30.8%
"Worcester, MA-CT",34.48,17.82,39.00,29.63,33.22,41.88,36.75,41.09,38.64,20.71,34.93,24.38,44.56,36.2%
"Yakima, WA",29.42,16.80,32.53,21.77,29.23,50.51,30.78,31.39,28.66,18.70,29.71,25.16,43.70,23.0%
"York-Hanover, PA",33.12,16.90,37.20,18.57,31.80,44.63,38.65,32.94,33.81,16.32,25.69,23.83,38.33,31.6%
"Youngstown-Warren-Boardman, OH-PA",28.14,15.10,33.41,16.70,26.41,42.27,26.75,24.54,33.71,15.03,19.61,20.97,42.81,26.7%
"Yuba City, CA",31.77,16.86,54.77,,27.21,56.14,35.04,25.09,39.86,17.93,37.37,22.36,,24.9%
"Yuma, AZ",27.22,11.26,30.08,,23.63,45.98,37.40,25.10,31.81,14.18,17.73,20.93,,24.0%
